x,y
1.05716, 0.646247
0.989073, 0.631322
0.921751, 0.655694
0.868399, 0.63717
0.81645, 0.620481
0.760751, 0.566991
0.688505, 0.536246
0.625495, 0.489659
0.542075, 0.489477
0.490094, 0.447639
0.45331, 0.394396
0.438329, 0.290693
0.448054, 0.216598
0.411723, 0.168343
0.233069, 0.127639
-0.493253, 0.44845
-0.387349, 0.427204
-0.50459, 0.459197
-0.586739, 0.459282
-0.56192, 0.41431
-0.559627, 0.344262
-0.500038, 0.322228
-0.487992, 0.264198
-0.674728, 0.23688
-0.619537, 0.18518
-0.678578, 0.167715
-0.74849, 0.15711
-0.686046, 0.0983032
-0.615841, 0.0545956
-0.736238, 0.0633067
-0.714824, 0.00738102
-0.786604, 0.00625688
-0.736964, -0.0635616
-0.657562, -0.100689
-0.389307, -0.311118
-0.279444, -0.397731
-0.219762, -0.436761
-0.139926, -0.485908
-0.0462907, -0.534087
0.035033, -0.570002
0.0931375, -0.598049
0.16226, -0.660879
0.23496, -0.717345
0.283463, -0.764118
0.352983, -0.81629
0.434841, -0.844035
0.495217, -0.915225
0.542104, -0.96562
0.604927, -1.01838
0.65142, -1.06143
0.702715, -1.09369
0.73921, -1.15919
0.864479, -1.23621
0.913057, -1.25672
0.976315, -1.25544
1.04833, -1.27618
1.1392, -1.28726
1.21712, -1.27678
1.30473, -1.30894
1.35816, -1.33677
1.46471, -1.34313
1.53835, -1.36296
1.63235, -1.36514
1.69904, -1.37522
1.79433, -1.41972
1.85127, -1.46215
1.86515, -1.5108
1.93835, -1.51135
2.0189, -1.50324
2.07479, -1.53648
2.14966, -1.55405
2.21937, -1.58443
2.27653, -1.60759
2.37166, -1.65126
2.43466, -1.69894
2.47436, -1.75016
2.54635, -1.77736
2.6121, -1.80514
2.67974, -1.8222
2.71757, -1.85556
2.78362, -1.90228
2.83443, -1.93699
2.90925, -1.98094
2.96976, -2.0061
3.0226, -2.01818
3.10304, -2.07276
3.14528, -2.10537
3.20145, -2.14257
3.26671, -2.1588
3.29025, -2.20573
3.34056, -2.20393
3.39434, -2.26084
3.4639, -2.31479
3.53788, -2.36341
3.63401, -2.42564
3.69268, -2.44489
3.74773, -2.44724
3.78766, -2.51273
3.85184, -2.58901
3.9116, -2.62092
3.98404, -2.63289
4.06752, -2.67024
4.14598, -2.73887
4.22677, -2.76555
4.29043, -2.80057
4.40328, -2.85229
4.47578, -2.89965
4.59887, -2.97994
4.63818, -3.03535
4.75797, -3.09153
4.81087, -3.12648
4.92173, -3.17703
4.97023, -3.19853
4.98446, -3.26123
5.04229, -3.30385
5.11203, -3.33384
5.18244, -3.32178
5.22572, -3.36749
5.27996, -3.40097
5.33656, -3.42969
5.39113, -3.44494
5.46117, -3.52119
5.53887, -3.567
5.58538, -3.59171
5.66915, -3.63935
5.72704, -3.67926
5.81273, -3.73195
5.85987, -3.75443
5.93977, -3.76232
6.01515, -3.81495
6.08128, -3.86028
6.12584, -3.89193
6.20785, -3.94021
6.26822, -3.96109
6.31937, -4.00248
6.37451, -4.01056
6.45555, -4.07972
6.5283, -4.11841
6.58797, -4.1612
6.62459, -4.21068
6.70838, -4.25935
6.76357, -4.29069
6.84672, -4.29999
6.90148, -4.29832
6.96863, -4.33763
7.01544, -4.39328
7.09281, -4.45827
7.13268, -4.52406
7.2149, -4.5758
7.28017, -4.60621
7.34388, -4.61696
7.39265, -4.64122
7.43576, -4.67896
7.5364, -4.7543
7.58206, -4.79419
